iter	Logloss
0	0.6913654186
1	0.6894675361
2	0.6876455236
3	0.6859896625
4	0.6842274842
5	0.6821070071
6	0.6803153709
7	0.6784522445
8	0.6769818906
9	0.6749185633
10	0.6734722985
11	0.6715500443
12	0.6699835459
13	0.6677200883
14	0.665448648
15	0.663699468
16	0.6621387623
17	0.6601965162
18	0.6590901834
19	0.6573783733
20	0.6556572384
21	0.6538039313
22	0.6523956016
23	0.6505351596
24	0.6483897456
25	0.6462855162
26	0.6447662071
27	0.642736223
28	0.6412946207
29	0.6394349557
30	0.6384643979
31	0.6366346854
32	0.6351297167
33	0.6335508558
34	0.6317532151
35	0.6303007338
36	0.6290221038
37	0.6276664734
38	0.6264675988
39	0.6251816926
40	0.6236664101
41	0.6220450225
42	0.6208222001
43	0.6193764298
44	0.618010415
45	0.6162471065
46	0.6151034744
47	0.6141825076
48	0.6132586444
49	0.6119398894
50	0.6104987109
51	0.6092426865
52	0.607816131
53	0.6065971233
54	0.6059495431
55	0.6036635505
56	0.6019525175
57	0.600859748
58	0.5990720678
59	0.59800367
60	0.596781554
61	0.5953510426
62	0.5939235687
63	0.5923759319
64	0.5915290338
65	0.5901771475
66	0.5892638454
67	0.5885808026
68	0.5873543775
69	0.5855700175
70	0.5844563378
71	0.5826944775
72	0.581382257
73	0.5800328431
74	0.5789721454
75	0.578081908
76	0.5767799307
77	0.5757124865
78	0.5743209344
79	0.5728910234
80	0.5715962163
81	0.5701623846
82	0.568980111
83	0.5674316971
84	0.565835317
85	0.56454383
86	0.5637374454
87	0.562793767
88	0.5614626496
89	0.5604787403
90	0.5590435311
91	0.55823259
92	0.5569742697
93	0.5555625492
94	0.5542889348
95	0.5532107177
96	0.5522015183
97	0.5513359352
98	0.5501849563
99	0.5486840849
100	0.5473604202
101	0.5464642136
102	0.5450445811
103	0.5441325152
104	0.5427328039
105	0.5418340188
106	0.5409290879
107	0.5397502051
108	0.5390262604
109	0.5382978651
110	0.5371803708
111	0.5360276258
112	0.534956049
113	0.53414698
114	0.5329763624
115	0.5319557896
116	0.5310126411
117	0.5298289899
118	0.5283289309
119	0.526934871
120	0.526186272
121	0.5254347766
122	0.5244494544
123	0.5234925305
124	0.522694623
125	0.5218029022
126	0.5208975121
127	0.5204639435
128	0.5193893291
129	0.5183513783
130	0.5174471537
131	0.516413724
132	0.5152662065
133	0.5145650087
134	0.5134029035
