iter	Passed	Remaining
0	13	13284
1	24	12456
2	36	12197
3	47	11873
4	60	11964
5	71	11852
6	81	11564
7	92	11439
8	104	11525
9	115	11483
10	125	11256
11	133	10970
12	141	10771
13	150	10603
14	159	10477
15	167	10321
16	176	10220
17	184	10081
18	194	10029
19	202	9919
20	211	9860
21	221	9826
22	229	9769
23	238	9715
24	249	9717
25	259	9728
26	273	9848
27	285	9895
28	296	9921
29	308	9975
30	319	10001
31	329	9977
32	340	9978
33	353	10049
34	365	10091
35	377	10120
36	393	10239
37	405	10276
38	415	10247
39	424	10193
40	434	10161
41	448	10233
42	463	10311
43	479	10413
44	493	10467
45	513	10656
46	525	10659
47	537	10657
48	546	10603
49	558	10615
50	570	10607
51	579	10560
52	591	10572
53	601	10542
54	614	10557
55	625	10546
56	635	10515
57	647	10513
58	655	10455
59	668	10473
60	678	10448
61	690	10444
62	700	10422
63	718	10509
64	733	10551
65	746	10557
66	756	10540
67	770	10555
68	780	10535
69	792	10524
70	803	10517
71	812	10474
72	823	10463
73	832	10413
74	842	10396
75	850	10341
76	860	10309
77	868	10269
78	877	10230
79	886	10196
80	895	10160
81	905	10135
82	913	10091
83	924	10080
84	934	10058
85	944	10040
86	954	10020
87	964	9995
88	974	9970
89	984	9956
90	992	9918
91	1002	9895
92	1011	9862
93	1021	9847
94	1030	9816
95	1043	9830
96	1058	9850
97	1071	9859
98	1083	9861
99	1093	9837
100	1105	9838
101	1114	9815
102	1162	10121
103	1223	10543
104	1236	10539
105	1246	10512
106	1258	10504
107	1268	10472
108	1280	10466
109	1290	10437
110	1303	10436
111	1315	10433
112	1326	10412
113	1338	10401
114	1348	10376
115	1359	10361
116	1369	10336
117	1381	10322
118	1394	10321
119	1415	10382
120	1437	10444
121	1451	10449
122	1465	10449
123	1481	10462
124	1494	10464
125	1505	10439
126	1516	10424
127	1529	10417
128	1540	10403
129	1552	10390
130	1561	10357
131	1573	10348
132	1582	10318
133	1594	10305
134	1605	10285
135	1615	10265
136	1629	10264
137	1640	10249
138	1652	10234
139	1661	10206
140	1671	10182
141	1680	10155
142	1689	10125
143	1699	10102
144	1710	10085
145	1720	10062
146	1732	10053
147	1744	10040
148	1754	10022
149	1767	10013
150	1781	10014
151	1791	9994
152	1805	9995
153	1824	10020
154	1841	10040
155	1855	10039
156	1871	10046
157	1881	10024
158	1896	10028
159	1912	10039
160	1925	10035
161	1935	10014
162	1947	10001
163	1957	9980
164	1969	9969
165	1980	9948
166	1994	9946
167	2006	9936
168	2017	9920
169	2029	9906
170	2038	9884
171	2049	9867
172	2059	9846
173	2073	9843
174	2088	9846
175	2104	9852
176	2113	9827
177	2123	9804
178	2131	9778
179	2140	9753
180	2150	9731
181	2161	9714
182	2170	9690
183	2179	9664
184	2187	9637
185	2196	9612
186	2205	9587
187	2214	9563
188	2223	9542
189	2232	9517
190	2242	9497
191	2250	9471
192	2259	9449
193	2269	9430
194	2278	9407
195	2286	9379
196	2295	9355
197	2302	9327
198	2310	9298
199	2318	9275
200	2326	9249
201	2335	9226
202	2343	9200
203	2351	9174
204	2360	9154
205	2369	9131
206	2377	9108
207	2385	9082
208	2393	9059
209	2401	9035
210	2409	9008
211	2418	8989
212	2426	8967
213	2436	8949
214	2445	8929
215	2455	8914
216	2464	8892
217	2473	8872
218	2481	8850
219	2489	8827
220	2497	8803
221	2505	8779
222	2513	8759
223	2522	8739
224	2531	8720
225	2539	8698
226	2547	8674
227	2557	8658
228	2564	8635
229	2573	8614
230	2581	8594
231	2590	8574
232	2597	8551
233	2605	8528
234	2613	8509
235	2621	8486
236	2629	8464
237	2637	8445
238	2645	8423
239	2654	8406
240	2662	8385
241	2672	8370
242	2682	8357
243	2692	8341
244	2700	8321
245	2708	8302
246	2716	8282
247	2724	8260
248	2732	8241
249	2740	8220
250	2748	8203
251	2756	8183
252	2764	8163
253	2772	8144
254	2781	8127
255	2791	8113
256	2801	8098
257	2810	8084
258	2820	8069
259	2830	8054
260	2839	8039
261	2851	8032
262	2861	8019
263	2872	8006
264	2880	7990
265	2889	7974
266	2898	7956
267	2907	7940
268	2915	7922
269	2924	7906
270	2932	7887
271	2941	7871
272	2949	7853
273	2957	7836
274	2967	7822
275	2975	7805
276	2984	7790
277	2992	7771
278	3002	7758
279	3010	7741
280	3018	7723
281	3026	7705
282	3033	7685
283	3041	7669
284	3049	7649
285	3056	7630
286	3064	7612
287	3071	7593
288	3079	7577
289	3088	7561
290	3097	7545
291	3104	7527
292	3112	7509
293	3120	7492
294	3127	7474
295	3135	7457
296	3142	7438
297	3149	7420
298	3157	7403
299	3165	7385
300	3172	7367
301	3183	7357
302	3192	7343
303	3213	7358
304	3221	7340
305	3228	7322
306	3236	7305
307	3243	7288
308	3251	7270
309	3259	7255
310	3266	7237
311	3275	7222
312	3282	7205
313	3290	7188
314	3299	7174
315	3306	7158
316	3315	7143
317	3323	7127
318	3332	7113
319	3339	7096
320	3346	7079
321	3355	7064
322	3363	7049
323	3372	7036
324	3380	7020
325	3387	7004
326	3396	6991
327	3404	6975
328	3413	6960
329	3420	6944
330	3427	6928
331	3436	6913
332	3443	6897
333	3451	6882
334	3459	6866
335	3466	6850
336	3474	6836
337	3482	6820
338	3490	6805
339	3498	6791
340	3506	6775
341	3514	6761
342	3524	6750
343	3536	6743
344	3544	6730
345	3555	6720
346	3564	6708
347	3575	6698
348	3584	6685
349	3593	6674
350	3603	6662
351	3614	6654
352	3623	6641
353	3633	6631
354	3643	6619
355	3656	6615
356	3668	6607
357	3678	6596
358	3688	6586
359	3699	6577
360	3713	6573
361	3723	6562
362	3732	6549
363	3741	6537
364	3751	6526
365	3761	6516
366	3771	6504
367	3780	6492
368	3791	6483
369	3803	6475
370	3818	6473
371	3844	6489
372	3854	6479
373	3865	6470
374	3876	6461
375	3891	6458
376	3935	6503
377	3965	6526
378	3974	6513
379	3991	6512
380	4005	6507
381	4015	6495
382	4024	6483
383	4032	6468
384	4041	6456
385	4050	6443
386	4061	6432
387	4069	6418
388	4077	6404
389	4086	6391
390	4094	6378
391	4103	6364
392	4110	6348
393	4118	6334
394	4127	6321
395	4135	6307
396	4143	6292
397	4150	6278
398	4158	6264
399	4165	6248
400	4173	6233
401	4181	6220
402	4188	6205
403	4198	6193
404	4207	6181
405	4218	6171
406	4228	6161
407	4239	6151
408	4248	6139
409	4259	6129
410	4269	6118
411	4280	6108
412	4289	6097
413	4300	6086
414	4309	6075
415	4321	6067
416	4331	6055
417	4340	6044
418	4350	6032
419	4359	6020
420	4368	6007
421	4378	5997
422	4390	5988
